paper_id,instA_coords,instB_coords,instA_id,instB_id
005c43980edf3fcc2a4d12ee7ad630ddb651ce6e,"[126.95475630000001, 35.9703446]","[127.13677320000001, 36.8552989]",5394,6214
005c43980edf3fcc2a4d12ee7ad630ddb651ce6e,"[-71.1041786, 42.3356352]","[105.8593753, 21.013396399999998]",7062,6283
005c43980edf3fcc2a4d12ee7ad630ddb651ce6e,"[-71.1041786, 42.3356352]","[127.36039, 36.372142700000005]",7062,3216
005c43980edf3fcc2a4d12ee7ad630ddb651ce6e,"[-71.1041786, 42.3356352]","[127.13677320000001, 36.8552989]",7062,6214
005c43980edf3fcc2a4d12ee7ad630ddb651ce6e,"[105.8593753, 21.013396399999998]","[127.36039, 36.372142700000005]",6283,3216
005c43980edf3fcc2a4d12ee7ad630ddb651ce6e,"[105.8593753, 21.013396399999998]","[127.13677320000001, 36.8552989]",6283,6214
005c43980edf3fcc2a4d12ee7ad630ddb651ce6e,"[127.36039, 36.372142700000005]","[127.13677320000001, 36.8552989]",3216,6214
00676f1131e03ca8defe523e79bc1635cc933909,"[-114.1598543, 46.23739279999999]","[-8.0340066, 12.6359435]",751,10734
0072159e1ebecc889e9bcabb58bb45c47e18a403,"[-75.1932137, 39.9522188]","[-97.73405670000001, 30.2849185]",5759,3885
0072159e1ebecc889e9bcabb58bb45c47e18a403,"[-75.1932137, 39.9522188]","[-79.39565640000002, 43.6628917]",5759,8037
0072159e1ebecc889e9bcabb58bb45c47e18a403,"[-75.1932137, 39.9522188]","[103.7721158, 1.3000393]",5759,5627
0072159e1ebecc889e9bcabb58bb45c47e18a403,"[-97.73405670000001, 30.2849185]","[-79.39565640000002, 43.6628917]",3885,8037
0072159e1ebecc889e9bcabb58bb45c47e18a403,"[-97.73405670000001, 30.2849185]","[103.7721158, 1.3000393]",3885,5627
0072159e1ebecc889e9bcabb58bb45c47e18a403,"[-79.39565640000002, 43.6628917]","[103.7721158, 1.3000393]",8037,5627
007618ad76a3548195ab5d11c1e2459931c91cd1,"[84.947513, 56.4695]","[37.57782460000001, 55.7107897]",9671,2202
0079559ab8717d83bc3df6be8533ff9672bb4367,"[9.1488111, 45.19623379999999]","[9.1945843, 45.4601435]",854,9995
0079559ab8717d83bc3df6be8533ff9672bb4367,"[9.1488111, 45.19623379999999]","[9.1568417, 45.1867055]",854,2573
0079559ab8717d83bc3df6be8533ff9672bb4367,"[9.1488111, 45.19623379999999]","[9.1950515, 45.458872]",854,2484
0079559ab8717d83bc3df6be8533ff9672bb4367,"[9.1488111, 45.19623379999999]","[12.354943400000002, 43.0778]",854,8601
0079559ab8717d83bc3df6be8533ff9672bb4367,"[9.1945843, 45.4601435]","[9.1568417, 45.1867055]",9995,2573
0079559ab8717d83bc3df6be8533ff9672bb4367,"[9.1945843, 45.4601435]","[9.1950515, 45.458872]",9995,2484
0079559ab8717d83bc3df6be8533ff9672bb4367,"[9.1945843, 45.4601435]","[12.354943400000002, 43.0778]",9995,8601
0079559ab8717d83bc3df6be8533ff9672bb4367,"[9.1568417, 45.1867055]","[9.1950515, 45.458872]",2573,2484
0079559ab8717d83bc3df6be8533ff9672bb4367,"[9.1568417, 45.1867055]","[12.354943400000002, 43.0778]",2573,8601
0079559ab8717d83bc3df6be8533ff9672bb4367,"[9.1950515, 45.458872]","[12.354943400000002, 43.0778]",2484,8601
007ed8e51dede6acd78e9a2a6c5eb64184d8e838,"[34.806179799999995, 32.111154]","[34.80438770000001, 32.113314100000004]",7092,10181
009002e8a66b8c1df088cf04069629fd76b13bb9,"[127.53213410000001, 36.557305799999995]","[127.0444909, 37.556595]",9719,2058
0093f9ae0861afc0d29fff935ae6a3af898cea00,"[135.7808218, 35.026244399999996]","[-77.1116333, 39.06339639999999]",5121,5417
0093f9ae0861afc0d29fff935ae6a3af898cea00,"[135.7808218, 35.026244399999996]","[135.5244676, 34.822013899999995]",5121,4928
0093f9ae0861afc0d29fff935ae6a3af898cea00,"[-77.1116333, 39.06339639999999]","[135.5244676, 34.822013899999995]",5417,4928
0094b25e2500306fadbdfb41d520f2970bb086d3,"[114.1797311, 22.3039347]","[114.1693611, 22.319303899999998]",8497,9085
0094b25e2500306fadbdfb41d520f2970bb086d3,"[114.1797311, 22.3039347]","[114.1370848, 22.282998899999996]",8497,112
